"Country Name","Country Code","Year","average_value_Adolescent fertility rate (births per 1,000 women ages 15-19)","average_value_Children in employment, female (% of female children ages 7-14)","average_value_Children in employment, male (% of male children ages 7-14)","average_value_Children in employment, study and work (% of children in employment, ages 7-14)","average_value_Children in employment, study and work, female (% of female children in employment, ages 7-14)","average_value_Children in employment, study and work, male (% of male children in employment, ages 7-14)","average_value_Children in employment, total (% of children ages 7-14)","average_value_Children in employment, work only (% of children in employment, ages 7-14)","average_value_Children in employment, work only, female (% of female children in employment, ages 7-14)","average_value_Children in employment, work only, male (% of male children in employment, ages 7-14)","average_value_Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)","average_value_Labor force participation rate for ages 15-24, male (%) (modeled ILO estimate)","average_value_Labor force participation rate for ages 15-24, total (%) (modeled ILO estimate)","average_value_Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)","average_value_Labor force participation rate, female (% of female population ages 15-64) (modeled ILO estimate)","average_value_Labor force participation rate, male (% of male population ages 15+) (modeled ILO estimate)","average_value_Labor force participation rate, male (% of male population ages 15-64) (modeled ILO estimate)","average_value_Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)","average_value_Life expectancy at birth, female (years)","average_value_Life expectancy at birth, male (years)","average_value_Literacy rate, youth (ages 15-24), gender parity index (GPI)","average_value_Prevalence of HIV, female (% ages 15-24)","average_value_Prevalence of HIV, male (% ages 15-24)","average_value_Proportion of seats held by women in national parliaments (%)","average_value_Refugee population by country or territory of asylum","average_value_Refugee population by country or territory of origin","average_value_School enrollment, primary (gross), gender parity index (GPI)","average_value_School enrollment, primary and secondary (gross), gender parity index (GPI)","average_value_School enrollment, secondary (gross), gender parity index (GPI)","average_value_School enrollment, tertiary (gross), gender parity index (GPI)","average_value_Unemployment, female (% of female labor force) (modeled ILO estimate)","average_value_Unemployment, male (% of male labor force) (modeled ILO estimate)","average_value_Vulnerable employment, female (% of female employment) (modeled ILO estimate)","average_value_Vulnerable employment, male (% of male employment) (modeled ILO estimate)"
"Latin America & Caribbean (excluding high income)","LAC","1975","94.0024533895476","","","","","","","","","","","","","","","","","","64.7101441574791","59.6712863147009","0.977850019931793","","","","","","0.96445","0.98116","1.03468","0.683350026607513","","","",""
"Lao PDR","LAO","2012","67.666","","","","","","","","","","66.19","59.63","62.88","76.74","80.58","79.6","81.81","81.19","67.061","63.452","","0.1","0.1","25","","7981","0.934069991111755","0.904760003089905","0.861039996147156","0.817110002040863","0.66","0.76","87.2100028991699","76.3400001525879"
"Liberia","LBR","2000","148.8488","","","","","","","","","","52.27","60.51","56.43","69.44","70.91","79.53","80.39","75.59","52.789","50.681","","1.8","0.7","7.8125","69307","266926","0.737049996852875","0.736270010471344","0.731090009212494","0.556100010871887","2.28","2.36","89.3799991607666","74.6699981689453"
"Low income","LIC","2012","105.596591275563","","","","","","","","","","48.1861057455512","59.2251355267198","53.7369969131015","57.9157366289278","59.5100337916831","78.4376530803921","79.4725467517623","69.3835199332108","62.6346352250286","59.0366392135902","0.852710008621216","1.29794781798572","0.582286493591106","19.7093403004572","2953146","6578179","0.90527","0.87368","0.79051","0.606540024280548","5.07615590195273","4.90119716635408","87.9465416301286","74.5252534244582"
"Low income","LIC","2017","96.5991837441065","","","","","","","","","","47.0490699855411","56.9540789966858","52.036543203203","57.9264898039488","59.5633144553502","77.1082328450423","78.145326677973","68.7792110471443","64.9299516470671","61.1403545964709","0.901859998703003","1.11188402612685","0.522683216001651","22.054859679721","5826361","15751892","0.92172","0.89563","0.82555","0.637619972229004","4.75495629494807","4.74459929707755","86.6219197764953","73.0953524840044"
"Liechtenstein","LIE","2016","","","","","","","","","","","","","","","","","","","84","80.6","","","","20","161","","0.961830019950867","0.847509980201721","0.782270014286041","0.546019971370697","","","",""
"Low & middle income","LMY","1979","78.5532608711135","","","","","","","","","","","","","","","","","","61.4308731553762","58.0304127199004","0.806940019130707","","","","","","0.81834","0.80129","0.76512","0.785319983959198","","","",""
"Luxembourg","LUX","1963","27.0492","","","","","","","","","","","","","","","","","","72.538","66.066","","","","","1900","","","","","","","","",""
"Luxembourg","LUX","2008","8.9816","","","","","","","","","","27.9","31.57","29.76","46.96","58.27","63.36","74.08","66.27","83.1","78.1","","","","23.3333333333333","3109","","1.0100599527359","1.01803994178772","1.02548003196716","0.963739991188049","6.03","4.32","5.36999994516373","3.46999990940094"
"Morocco","MAR","1964","150.1236","","","","","","","","","","","","","","","","","","51.087","49.242","","","","","3000","","","","","","","","",""
"Morocco","MAR","1994","36.186","","","","","","","","","","23.2","59.03","41.3","23.52","24.76","77.54","79.82","51.89","68.181","64.783","0.644339978694916","0.1","0.1","","336","179","0.725000023841858","0.726769983768463","0.732599973678589","0.679870009422302","13.61","13.98","72.149998664856","51.7299995422363"
"Maldives","MDV","1984","193.857","","","","","","","","","","","","","","","","","","55.486","57.634","","","","","","","","","","","","","",""
"Marshall Islands","MHL","2005","","","","","","","","","","","","","","","","","","","","","","","","3.03030303030303","","","1.2530699968338","1.15487003326416","1.01603996753693","","","","",""
"North Macedonia","MKD","2011","18.5546","19.2","20.3","98.5546804012758","97.7632767085882","99.2093889259251","19.8","1.44531959872421","2.2367232914118","0.790611074074904","23.93","39.96","32.14","43.44","51.25","67.65","76.89","64.23","76.888","72.85","","","","30.8943089430894","1129","7677","","","","","30.79","31.76","20.7000002861023","23.7099990844727"
"North Macedonia","MKD","2016","16.1822","","","","","","","","","","22.95","39.15","31.27","42.35","50.67","67.76","77.7","64.38","77.55","73.491","","","","33.3333333333333","634","1730","","","","","22.73","24.36","17.0199999809266","21.4399991035462"
"North Macedonia","MKD","2017","15.723","","","","","","","","","","23.26","41.52","32.65","42.72","51.49","67.76","78.31","65.1","77.639","73.584","","","","37.5","414","1653","0.998749971389771","0.983089983463287","0.973119974136353","1.24425995349884","21.82","22.74","16.9700002670288","20.6899995803833"
"Middle East & North Africa (excluding high income)","MNA","1975","119.39310591812","","","","","","","","","","","","","","","","","","56.3680261953135","54.5759427579466","0.619180023670197","","","","","","0.64287","0.61127","0.53401","0.475210011005402","","","",""
"Netherlands","NLD","2020","","","","","","","","","","","","","","","","","","","","","","0.1","0.1","33.3333333333333","78911","61","","","","","","","",""
"Papua New Guinea","PNG","2019","51.309","","","","","","","","","","35.73","34.47","35.08","46.42","47.97","47.59","48.86","48.42","65.82","63.271","","0.3","0.2","0","9698","475","","","","","1.29","3.4","84.0100021362305","64.4400005340577"
"Korea, Dem. People's Rep.","PRK","1982","5.159","","","","","","","","","","","","","","","","","","69.685","63.414","","","","","","","","","","","","","",""
"Korea, Dem. People's Rep.","PRK","1984","4.363","","","","","","","","","","","","","","","","","","70.289","64.074","","","","","","","","","","","","","",""
"Qatar","QAT","1994","35.507","","","","","","","","","","31.67","73.66","59.26","45.45","46.45","94.07","94.34","80.92","77.761","75.717","","0.1","0.1","","","49","0.975950002670288","0.998769998550415","1.03238999843597","1.81396996974945","2.17","0.13","0.0199999995529652","0.940000016242266"
"Qatar","QAT","2005","16.734","","","","","","","","","","30.02","70.97","55.14","45.41","46.32","93.92","94.38","80.93","79.833","77.219","","0.1","0.1","","46","6","0.955330014228821","0.940699994564056","0.924539983272552","1.71281003952026","3.12","0.33","0.0700000002980233","0.470000008121133"
"San Marino","SMR","2000","","","","","","","","","","","","","","","","","","","","","","","","13.3333333333333","","5","1.04174995422363","1.05288004875183","1.07438004016876","1.33043003082275","","","",""
"Sub-Saharan Africa (excluding high income)","SSA","1966","153.862480363046","","","","","","","","","","","","","","","","","","44.3417297119153","41.490230655845","","","","","","","","","","","","","",""
"Sub-Saharan Africa (excluding high income)","SSA","1976","154.899691671497","","","","","","","","","","","","","","","","","","48.4849078696743","45.5540119543856","","","","","","","0.75271","0.73794","0.67035","0.617330014705658","","","",""
"Seychelles","SYC","1966","158.946","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Middle East & North Africa (IDA & IBRD countries)","TMN","2013","44.1165481909221","","","","","","","","","","12.6925503550801","46.7373601064775","29.9795167351812","18.1347776662285","19.3878241452163","71.8039819850631","75.5563183769069","47.5828139139519","74.5987492694301","70.7062436605109","0.944670021533966","0.100837113376357","0.100638741912862","16.4200649584987","6400180","2975830","0.94967","0.9439","0.93731","0.978060007095337","19.4692804566347","9.227028413775","40.692818658841","31.3974187292302"
"United States","USA","2004","41.4416","","","","","","","","","","54.95","58.95","57","58.15","68.15","72.22","80.53","74.35","80.1","75","","","","14.9425287356322","420788","451","0.995039999485016","1.00766003131866","1.02046000957489","1.2880300283432","5.4","5.64","4.05000006407499","5.09000020846725"
"St. Vincent and the Grenadines","VCT","1960","205.4208","","","","","","","","","","","","","","","","","","60.464","57.798","","","","","","","","","","","","","",""
"Vietnam","VNM","1988","28.1168","","","","","","","","","","","","","","","","","","74.426","65.463","","","","","27000","440379","","","","","","","",""
"Kosovo","XKX","2008","","","","","","","","","","","","","","","","","","","72","67.4","","","","","","","","","","","","","",""
"Zambia","ZMB","1977","188.052","","","","","","","","","","","","","","","","","","53.984","50.933","","","","","64900","","0.865639984607697","","","","","","",""
"Grenada","GRD","2015","31.6494","","","","","","","","","","","","","","","","","","75.017","70.125","","","","33.3333333333333","","270","0.964420020580292","0.971180021762848","0.98173999786377","1.13345003128052","","","",""
"Pre-demographic dividend","PRE","1991","145.604765922067","","","","","","","","","","46.2258002985537","55.129297513893","50.6863726528945","59.5924489549242","60.4932600568699","76.8407019834349","77.331863111715","68.8334744565431","51.4106851892399","48.1679062879701","0.779389977455139","2.26909095278452","0.830910676600406","","4276421","12098683","0.80945","0.78006","0.67043","0.469529986381531","4.553884041587","5.41658654025929","89.7412612876434","76.6258579803104"
"Serbia","SRB","1973","64.1804","","","","","","","","","","","","","","","","","","","","","","","","26290","130","","","","","","","",""
"Sub-Saharan Africa (excluding high income)","SSA","1993","135.597046699414","","","","","","","","","","50.5394455549208","57.0246483903546","53.7862622508705","62.4318470145189","63.6278443649882","77.8372094194702","78.4897763385895","70.9693704485715","51.9154890168317","48.3795823593146","0.821460008621216","3.28900115292214","1.15295488258884","","6155548","6326045","0.84264","0.82912","0.78395","0.570609986782074","6.38594161193109","6.5866613731695","86.8894133838777","74.3024597993918"
"Thailand","THA","1996","46.6354","","","","","","","","","","56.78","64.52","60.69","67.1","71.96","82.52","86.23","79.02","74.114","66.523","","1.4","2.2","","107962","282","","","","","1.12","1.03","64.5500011444092","55.7699985504151"
"Samoa","WSM","1975","57.645","","","","","","","","","","","","","","","","","","64.877","58.944","","","","","","","1.13689994812012","1.12095999717712","1.10336995124817","0.0578499995172024","","","",""
"Afghanistan","AFG","1986","160.0822","","","","","","","","","","","","","","","","","","48.55","46.499","","","","","","5094283","0.543280005455017","0.530939996242523","0.497509986162186","0.172619998455048","","","",""
"United Arab Emirates","ARE","1963","175.4168","","","","","","","","","","","","","","","","","","56.771","52.541","","","","","","","","","","","","","",""
"United Arab Emirates","ARE","1975","154.4174","","","","","","","","","","","","","","","","","","67.362","63.899","0.859040021896362","","","","","","0.837109982967377","0.933759987354279","0.919489979743958","","","","",""
"Antigua and Barbuda","ATG","2018","41.831","","","","","","","","","","","","","","","","","","77.983","75.721","","","","11.1111111111111","","107","0.992079973220825","0.979240000247955","0.962859988212585","","","","",""
"Australia","AUS","1989","21.01","","","","","","","","","","","","","","","","","","79.92","73.66","","","","","97915","","0.998960018157959","","","1.11105000972748","","","",""
"Bahamas, The","BHS","1976","90.0036","","","","","","","","","","","","","","","","","","69.871","64.082","","","","","","","1.02329003810883","","","","","","",""
"Bosnia and Herzegovina","BIH","1990","30.0996","","","","","","","","","","23.51","38.07","31.02","37.53","41.68","62.05","65.86","53.8","74.296","67.432","","","","","","","","","","","","","",""
"Canada","CAN","1965","48.6678","","","","","","","","","","","","","","","","","","75.14","68.76","","","","","9980","","","","","","","","",""
"Chile","CHL","2000","60.3632","","","","","","","","","","30.41","49.38","40.02","38.31","42.42","75.47","80.07","61.02","79.364","73.235","","0.1","0.1","10.8333333333333","366","858","0.976080000400543","0.995980024337769","1.02253997325897","0.916279971599579","12.46","9.43","23.1400005817414","29.8700009584426"
"Costa Rica","CRI","1993","91.5036","","","","","","","","","","34.77","70.92","53.05","34.14","36.56","82.23","86.02","61.42","78.779","73.739","","0.1","0.1","","24834","5","0.985949993133545","1.00670003890991","1.07444000244141","","4.99","3.52","21.5599999427796","23.8399991989135"
"Algeria","DZA","1967","115.012","","","","","","","","","","","","","","","","","","50.006","48.408","","","","","","","","","","","","","",""
"Early-demographic dividend","EAR","2007","52.922673064382","","","","","","","","","","28.0495168979744","59.5045993149293","44.2089869272757","35.9156363746519","37.7264880596798","80.1594584880552","82.7119098983624","60.6225278514021","68.5244232825051","65.3152344474564","0.920029997825623","","","14.7212039359444","10775920","1317745","0.97224","0.95611","0.93318","0.921660006046295","6.9812734509243","5.29572908432703","69.701625679215","62.0439998343345"
"Europe & Central Asia","ECS","2000","25.5307206998692","","","","","","","","","","39.639022118065","49.8817784968603","44.8385661703034","48.6068847714056","59.3464789888151","67.5185754538605","76.552435530008","67.8526241738033","77.1487871263784","69.1763541729242","0.995480000972748","","","16.562282533055","2765224","1505244","0.98212","0.98432","0.98589","1.13222002983093","10.7137426868991","9.09558761490214","16.9644097046127","17.896312669699"
"Euro area","EMU","2000","10.7417952333932","","","","","","","","","","40.7359984440804","48.1948267977879","44.5428921677708","45.4604059652107","58.1469529200979","65.5183542623797","77.2757793716996","67.7373428389579","81.6223151196007","75.0944333800174","","0.1","0.121337994858805","19.3314633006078","1259995","6224","0.99021","0.99797","1.00295","1.11751997470856","11.458772168369","7.90594023899222","10.3149706443915","12.6529457370799"
"Eritrea","ERI","1973","115.056","","","","","","","","","","","","","","","","","","46.063","42.637","","","","","","","","","","","","","",""
"Fragile and conflict affected situations","FCS","1973","136.261232590325","","","","","","","","","","","","","","","","","","48.8253215898921","45.7474920423602","","","","","","","0.70163","0.67713","0.58283","0.541299998760223","","","",""
"Fiji","FJI","2004","42.7968","","","","","","","","","","23.73","50.84","37.66","35.27","36.54","78.25","79.83","58.56","67.895","64.693","","0.1","0.1","8.45070422535211","","1280","0.985780000686646","1.02281999588013","1.06650996208191","1.16398000717163","5.41","3.29","37.1199989318848","37.039999961853"
